video_id,meta_has_title,meta_has_description,meta_video_duration,meta_description_length,meta_description_unique_words,meta_view_count,meta_like_count,meta_comment_count,meta_subscriber_count,meta_channel_upload_count,meta_sentiment,meta_sentence_count,flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,text_length,word_count
ZOp4fnBe9Rc,True,True,327.0,81,54,2453,9,0,216000,5950,Neutral,4,-647.22,276.19,73.1,285.37,1.757,0.216,0.482,0.1123439667128987,81.0,69.0,0.8840579710144928,0.7530864197530864,True,0.4049382716049383,0.382716049382716,0.0864197530864197,0.0246913580246913,0.3703703703703703,0.0,0.0,0.1111111111111111,0.0864197530864197,0.1234567901234567,0.0,0.0,0.1975308641975308,2.333,244.67,243.5,13.0,0.36,6.14,0.083,4275.0,721.0
ZQMPrAzm-7o,True,True,1505.0,261,164,1340,13,0,1220000,11882,Neutral,14,-3561.58,1401.88,115.95,1439.78,1.472,0.109,0.199,0.0171555063641394,62.0,35.0,0.6857142857142857,0.3870967741935484,True,0.8,1.0,0.0,0.0161290322580645,0.2419354838709677,0.0,0.0,0.0161290322580645,0.1129032258064516,0.032258064516129,0.0,0.0,0.5806451612903226,0.329,50.75,48.99,8.45,0.026,3.74,0.135,19523.0,3600.0
ZQnmdNIDEFA,True,True,102.0,102,78,294,7,1,46000,861,Very Positive,6,-104.41,75.27,27.37,78.28,1.387,0.094,0.576,0.171875,33.0,26.0,0.8461538461538461,0.6666666666666666,False,0.0969696969696969,0.2424242424242424,0.0606060606060606,0.0303030303030303,0.0303030303030303,0.0,0.0,0.0909090909090909,0.0303030303030303,0.2424242424242424,0.0,0.0,0.5151515151515151,0.111,22.0,19.03,5.78,0.161,2.68,0.232,1003.0,191.0
ZRwgrSWy3Mw,True,True,247.0,112,77,9187,53,2,53500,1701,Neutral,7,-625.25,277.1,39.71,286.14,1.305,0.058,0.385,0.1024930747922437,74.0,65.0,0.9230769230769232,0.8108108108108109,True,0.4756756756756757,0.4594594594594595,0.027027027027027,0.2837837837837837,0.0675675675675675,0.0,0.0,0.0,0.0945945945945946,0.0405405405405405,0.0,0.054054054054054,0.4324324324324324,0.227,33.73,32.77,6.27,0.098,3.24,0.195,3570.0,721.0
ZXqnSAxv99M,True,True,22.0,71,59,268301,2317,50,135000,2612,Very Positive,3,23.36,26.89,11.21,27.79,1.353,0.029,0.647,0.1714285714285714,12.0,12.0,1.0,1.0,True,0.2666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.5833333333333334,0.0,18.5,12.45,6.0,0.381,2.45,0.203,351.0,70.0
ZXy747Diy88,True,True,240.0,22,21,2003,17,2,569000,3032,Neutral,2,-389.35,176.87,56.11,182.64,1.768,0.195,0.452,0.1929046563192904,87.0,72.0,0.8888888888888888,0.735632183908046,True,0.2942528735632184,0.3448275862068966,0.0344827586206896,0.0,0.425287356321839,0.0,0.0,0.0689655172413793,0.0,0.0344827586206896,0.0,0.0,0.4367816091954023,17.0,456.0,0.0,22.0,0.966,12.38,0.068,2861.0,453.0
ZYTmxypIYmg,True,True,18.0,76,59,180,3,1,100000,867,Neutral,3,61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1.0,1.0,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,63.0,10.0
ZYgKKFBtDqc,True,True,67.0,5,5,438,4,0,13600,1174,Neutral,1,-41.57,47.63,21.19,48.09,1.557,0.087,0.643,0.1440677966101695,17.0,16.0,0.9375,0.8823529411764706,False,0.188235294117647,0.2941176470588235,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.1176470588235294,0.0588235294117647,0.0,0.0,0.6470588235294118,4.0,119.0,0.0,10.0,0.833,4.31,0.101,666.0,118.0
ZZs2YLfzJhs,True,True,372.0,49,41,173922,3193,0,144000,1700,Neutral,3,50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.79,0.091,930.0,127.0
Z_Jubdde7_s,True,True,76.0,63,52,792,9,2,569000,3032,Neutral,3,5.7,35.07,3.13,36.4,1.286,0.0,0.56,0.3932584269662921,35.0,26.0,0.8076923076923077,0.6,False,0.0914285714285714,0.2571428571428571,0.0,0.0571428571428571,0.0857142857142857,0.0,0.0,0.0,0.0857142857142857,0.0857142857142857,0.0,0.2285714285714285,0.4571428571428571,0.0,18.4,19.94,4.8,0.15,2.88,0.076,477.0,91.0
