search_term,value,base_keyword,tag,type
Chronic kidney disease,Breakout,kidney transplant,rising,topic
Pig,Breakout,kidney transplant,rising,topic
Diagnosis,Breakout,kidney transplant,rising,topic
Nurse,"+1,300%",kidney transplant,rising,topic
ICD-10-CM,"+1,250%",kidney transplant,rising,topic
Glomerular filtration rate,+850%,kidney transplant,rising,topic
Organ donation,+850%,kidney transplant,rising,topic
Chronic condition,+450%,kidney transplant,rising,topic
Life,+120%,kidney transplant,rising,topic
Urine,+60%,kidney transplant,rising,topic
Patient,+50%,kidney transplant,rising,topic
Kidney disease,+40%,kidney transplant,rising,topic
Organ transplantation,100,lung transplant,top,topic
Lung,100,lung transplant,top,topic
Lung transplantation,91,lung transplant,top,topic
Fibrosis,12,lung transplant,top,topic
Cystic fibrosis,12,lung transplant,top,topic
Patient,10,lung transplant,top,topic
Heart,7,lung transplant,top,topic
Scar,6,lung transplant,top,topic
Surgery,5,lung transplant,top,topic
Cure,5,lung transplant,top,topic
Disease,4,lung transplant,top,topic
Life,4,lung transplant,top,topic
Exercise,4,lung transplant,top,topic
Hospital,4,lung transplant,top,topic
Diagnosis,3,lung transplant,top,topic
Rate,3,lung transplant,top,topic
Kidney,3,lung transplant,top,topic
Life expectancy,3,lung transplant,top,topic
Cancer,3,lung transplant,top,topic
Survival rate,3,lung transplant,top,topic
Human body,3,lung transplant,top,topic
used,3,lung transplant,top,topic
Liver,3,lung transplant,top,topic
Kidney failure,2,lung transplant,top,topic
connect,2,lung transplant,top,topic
Scar,Breakout,lung transplant,rising,topic
Exercise,Breakout,lung transplant,rising,topic
Human body,Breakout,lung transplant,rising,topic
used,Breakout,lung transplant,rising,topic
Kidney failure,Breakout,lung transplant,rising,topic
connect,Breakout,lung transplant,rising,topic
Bronchoscopy,Breakout,lung transplant,rising,topic
Interstitial lung disease,Breakout,lung transplant,rising,topic
Health care,Breakout,lung transplant,rising,topic
Sarcoidosis,Breakout,lung transplant,rising,topic
Bone marrow,Breakout,lung transplant,rising,topic
Risk | Brilliant Math & Science Wiki,Breakout,lung transplant,rising,topic
Cardiopulmonary bypass,Breakout,lung transplant,rising,topic
Diagnosis,+200%,lung transplant,rising,topic
Liver,+140%,lung transplant,rising,topic
Kidney,+70%,lung transplant,rising,topic
Patient,+60%,lung transplant,rising,topic
Heart,+50%,lung transplant,rising,topic
Cure,+50%,lung transplant,rising,topic
Pancreas,100,pancreas transplant,top,topic
Organ transplantation,97,pancreas transplant,top,topic
Pancreas transplantation,76,pancreas transplant,top,topic
Kidney,20,pancreas transplant,top,topic
Diabetes,17,pancreas transplant,top,topic
Cure,13,pancreas transplant,top,topic
Cause,10,pancreas transplant,top,topic
Type 1 diabetes,9,pancreas transplant,top,topic
Disease,6,pancreas transplant,top,topic
Liver transplantation,5,pancreas transplant,top,topic
Cancer,4,pancreas transplant,top,topic
Kidney transplantation,4,pancreas transplant,top,topic
Liver,3,pancreas transplant,top,topic
Cause,+200%,pancreas transplant,rising,topic
Cure,+80%,pancreas transplant,rising,topic
