search_term,type,source,variants
pharmaceutical drug,['kidney transplant'],google trends,['pharmaceutical drug']
nurse,['kidney transplant'],google trends,['nurse']
glomerular filtration rate,['kidney transplant'],google trends,['glomerular filtration rate']
cure,"['lung transplant', 'pancreas transplant']",google trends,['cure']
human body,['lung transplant'],google trends,['human body']
bronchoscopy,['lung transplant'],google trends,['bronchoscopy']
interstitial lung disease,['lung transplant'],google trends,['interstitial lung disease']
health care,['lung transplant'],google trends,['health care']
sarcoidosis,['lung transplant'],google trends,['sarcoidosis']
bone marrow,['lung transplant'],google trends,['bone marrow']
risk | brilliant math & science wiki,['lung transplant'],google trends,['risk | brilliant math & science wiki']
cardiopulmonary bypass,['lung transplant'],google trends,['cardiopulmonary bypass']
pancreas transplantation,['pancreas transplant'],google trends,['pancreas transplantation']
