video_id,entity_total,count_nonbiological_location,count_subject,count_coreference,count_detailed_description,count_lab_value,count_time,count_biological_structure,count_therapeutic_procedure,count_diagnostic_procedure,count_disease_disorder,count_occupation,count_duration,count_date,count_sign_symptom,count_clinical_event,count_age,count_frequency,count_history,count_activity,count_other_event,count_medication,count_family_history,count_dosage,count_outcome,count_qualitative_concept,count_personal_background,count_severity,count_quantitative_concept,count_sex
KO5rysVqEiA,54,5.0,6.0,2.0,6.0,2.0,0.0,3.0,5.0,2.0,5.0,0.0,0.0,3.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1kDysDeGNc,18,1.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f3Q9aW2HmIo,49,5.0,1.0,0.0,9.0,2.0,0.0,10.0,7.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sw7S8z12VgE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZKoYGNEgrBk,22,2.0,0.0,0.0,3.0,1.0,0.0,4.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ry0qIblD2UI,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FW5BLDCxtdg,26,6.0,2.0,0.0,6.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P1MfH2QpCxQ,40,3.0,1.0,1.0,3.0,0.0,0.0,10.0,7.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sq0_pr3-pXo,29,3.0,2.0,7.0,6.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o-Kvlxyj43I,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M35LQVSiSAc,9,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eBPSwIYsiqM,90,2.0,13.0,3.0,21.0,8.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,5.0,12.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
FNiBW4khGGs,59,2.0,7.0,8.0,17.0,9.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Z6Dqr2PFmGc,38,3.0,4.0,8.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LSlzbi2jOG8,53,2.0,0.0,16.0,5.0,7.0,0.0,0.0,5.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ty30wkqXCVg,45,0.0,3.0,0.0,3.0,4.0,0.0,0.0,8.0,5.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
