video_id,entity_total,count_detailed_description,count_other_event,count_therapeutic_procedure,count_nonbiological_location,count_date,count_occupation,count_subject,count_family_history,count_diagnostic_procedure,count_frequency,count_coreference,count_time,count_activity,count_sign_symptom,count_disease_disorder,count_biological_structure,count_severity,count_quantitative_concept,count_clinical_event,count_outcome,count_history,count_duration,count_lab_value,count_medication,count_age,count_sex,count_personal_background,count_distance,count_qualitative_concept,count_other_entity,count_texture,count_shape,count_dosage,count_volume
gSOEle-vb3Y,64,11.0,0.0,7.0,10.0,6.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4EflwSP2EJk,92,11.0,3.0,3.0,5.0,3.0,1.0,3.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,7.0,4.0,0.0,0.0,7.0,0.0,1.0,1.0,14.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vMzfegrylR4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4Q-oIndKj3A,44,9.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,4.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z_Jubdde7_s,35,4.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NiWllGlVeSk,54,8.0,1.0,12.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nrberl9cddU,73,17.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
haRAXu-kZB8,88,12.0,0.0,14.0,6.0,5.0,0.0,5.0,3.0,4.0,1.0,5.0,3.0,0.0,3.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eDmlWAaDxVg,85,10.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,20.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
X755mvCm3ms,26,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8DuTf4RdC0,76,11.0,0.0,1.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M2xBfIJ91PE,67,7.0,0.0,18.0,5.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,1.0,4.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kbiJzdALB8M,9,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AgCrbjrKu3Y,67,7.0,0.0,4.0,6.0,4.0,0.0,4.0,0.0,3.0,2.0,2.0,0.0,3.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
brhAUUgjG1Q,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u5J-GGtINkk,63,13.0,0.0,3.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0,10.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9ul6iIbCPQI,43,7.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1tRL-3tDG4M,58,11.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,13.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Fc6ByVtSS_4,9,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
njx7yw0uS9c,11,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ZVIKm33OSg,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
