video_id,entity_total,count_therapeutic_procedure,count_detailed_description,count_coreference,count_family_history,count_lab_value,count_quantitative_concept,count_diagnostic_procedure,count_outcome,count_sign_symptom,count_time,count_disease_disorder,count_biological_structure,count_nonbiological_location,count_clinical_event,count_medication,count_subject,count_duration,count_date,count_other_event,count_frequency,count_personal_background,count_age,count_activity,count_history,count_occupation,count_other_entity,count_dosage,count_sex,count_administration,count_severity,count_volume
WZxopWCd9C0,31,7.0,2.0,1.0,0.0,5.0,2.0,0.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OiRnjmQUylQ,88,9.0,18.0,6.0,1.0,7.0,0.0,6.0,0.0,7.0,0.0,1.0,15.0,10.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IrgOE0B8xIw,36,5.0,6.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,1.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
VnP22uk1RCw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAPlNsy-CJ0,17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oBzWEtWY--0,55,10.0,16.0,14.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9aT6yQ-bB0Q,82,1.0,19.0,4.0,1.0,4.0,0.0,14.0,2.0,11.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IFLM_lpiS70,68,16.0,11.0,11.0,3.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VDcQz0CLVHM,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oj5N4H6Y9wg,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i1Tb5gfymfU,75,7.0,31.0,2.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
U8rCoDiRaxY,13,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qzklA8C6D74,54,9.0,9.0,8.0,0.0,8.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gJkemKXDM4w,57,9.0,11.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1hsP3HxFspI,31,6.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IauflS1rR0,15,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_hf6ifp_aDs,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1PtxaxcPnGc,4,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14m0iXpHVAU,36,8.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
