video_id,meta_has_title,meta_has_description,meta_video_duration,meta_description_unique_words,meta_like_count,meta_comment_count,meta_subscriber_count,meta_sentiment,average_word_length,lexical_diversity,medical_density,medical_mention_count,rare_term_ratio_unique,term_clustering_concentrated,term_clustering_gini,condition_ratio,symptom_ratio,therapy_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,activity_ratio,other_ratio,passive_voice_ratio,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,word_count
OkHESl_I2O8,True,True,311.0,16,642,106,47600,3.0,1.209,0.327,0.0912596401028277,71.0,0.8813559322033898,True,0.4225352112676057,0.0,0.0985915492957746,0.2394366197183098,0.028169014084507,0.0,0.1830985915492957,0.0845070422535211,0.0422535211267605,0.323943661971831,0.097,22.63,6.0,0.053,3.0,0.193,773.0
PLDHbo9nQGY,True,True,3562.0,89,24,0,24900,3.0,1.545,0.179,0.0055149593271749,40.0,0.8857142857142857,True,0.8,0.025,0.05,0.1,0.125,0.0,0.05,0.0,0.0,0.65,2.238,260.41,12.95,0.036,6.11,0.081,7242.0
PnnuV7NCzow,True,True,59.0,29,14,2,697000,3.0,1.733,0.692,0.1224489795918367,18.0,0.7692307692307693,True,0.5333333333333334,0.0,0.0555555555555555,0.2777777777777778,0.0,0.1666666666666666,0.0555555555555555,0.1111111111111111,0.0,0.3333333333333333,0.2,7.64,5.6,0.14,2.76,0.047,148.0
Q75-R4EMtZI,True,True,1768.0,116,11,2,17400,3.0,1.467,0.185,0.000605815831987,3.0,1.0,True,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.063,13.05,6.01,0.008,3.34,0.135,4947.0
Q88c7drpQrw,True,True,137.0,64,13,2,15600,2.0,1.267,0.45,0.1585365853658536,52.0,0.9090909090909092,False,0.0923076923076924,0.0384615384615384,0.2115384615384615,0.173076923076923,0.0576923076923076,0.0,0.0769230769230769,0.0384615384615384,0.0384615384615384,0.3653846153846153,0.091,29.07,6.27,0.102,3.13,0.213,330.0
QPj6e1aqiB0,True,True,211.0,69,57,10,477000,3.0,1.623,0.368,0.2374429223744292,104.0,0.6428571428571429,False,0.123076923076923,0.1923076923076923,0.0192307692307692,0.3365384615384615,0.0384615384615384,0.0096153846153846,0.0192307692307692,0.0384615384615384,0.0,0.3461538461538461,0.4,110.89,9.6,0.279,6.77,0.08,442.0
QapEAECWcJY,True,True,1265.0,88,1220,248,34900,3.0,1.313,0.24,0.0267396907216494,83.0,0.9210526315789472,True,0.8,0.0120481927710843,0.1927710843373494,0.144578313253012,0.0,0.0240963855421686,0.0120481927710843,0.0481927710843373,0.036144578313253,0.5301204819277109,0.181,43.19,7.12,0.028,3.62,0.19,3082.0
RLz_PVzRb8o,True,True,3512.0,88,28,0,17100,3.0,1.478,0.149,0.0076429226536227,75.0,0.7692307692307693,True,0.8,0.0133333333333333,0.0,0.1866666666666666,0.0,0.1333333333333333,0.24,0.0133333333333333,0.0,0.4133333333333333,0.632,105.05,9.11,0.012,4.85,0.131,9787.0
Ra_OdIPXdqE,True,True,445.0,142,7,0,24900,3.0,1.588,0.341,0.1071060762100926,104.0,0.8243243243243243,True,0.5615384615384615,0.0288461538461538,0.2980769230769231,0.1057692307692307,0.3269230769230769,0.0,0.0,0.0,0.0288461538461538,0.2115384615384615,1.0,126.39,10.14,0.255,4.49,0.107,970.0
S3CegUhEd7Y,True,True,195.0,103,16988,1843,697000,3.0,1.482,0.493,0.0536082474226804,26.0,0.8333333333333334,True,0.323076923076923,0.2692307692307692,0.3076923076923077,0.0384615384615384,0.0,0.2307692307692307,0.0,0.0,0.0,0.1538461538461538,0.027,6.52,5.27,0.042,2.84,0.085,483.0
SdH-IhgHD8U,True,True,169.0,22,2,0,50000,3.0,1.576,0.431,0.1269841269841269,56.0,0.9166666666666666,True,0.2357142857142857,0.0357142857142857,0.0,0.4107142857142857,0.0,0.0714285714285714,0.0714285714285714,0.0535714285714285,0.0,0.3571428571428571,3.5,317.49,11.5,0.484,3.84,0.098,442.0
SsXXGYdBdGk,True,True,259.0,114,7,1,15600,4.0,1.274,0.382,0.0111731843575419,8.0,1.0,True,0.4499999999999999,0.0,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.625,0.032,7.43,3.74,0.019,2.81,0.189,732.0
SuHkwjqlGEg,True,True,71.0,125,13,0,18300,2.0,1.358,0.761,0.2153846153846154,14.0,1.0,True,0.3142857142857143,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.5,0.0,9.5,6.67,0.375,2.85,0.229,67.0
Svuy0sjpP2A,True,True,206.0,46,0,0,3730,3.0,1.47,0.47,0.109375,56.0,0.9818181818181818,True,0.2714285714285716,0.0,0.0535714285714285,0.25,0.0,0.0,0.0535714285714285,0.0178571428571428,0.0178571428571428,0.6071428571428571,0.833,84.83,9.0,0.327,5.33,0.146,515.0
U8ZVlKI_yoA,True,True,251.0,37,119,15,34900,3.0,1.515,0.41,0.154191616766467,103.0,0.8701298701298701,True,0.3728155339805825,0.029126213592233,0.0776699029126213,0.1553398058252427,0.2135922330097087,0.058252427184466,0.0097087378640776,0.0388349514563106,0.0,0.4174757281553398,1.333,130.23,19.33,0.45,4.06,0.133,666.0
UOe4tcUhbQI,True,True,67.0,9,31,0,23100,3.0,1.561,0.561,0.1891891891891892,28.0,0.9629629629629628,False,0.2142857142857144,0.0,0.0714285714285714,0.25,0.0,0.0,0.0714285714285714,0.0714285714285714,0.1071428571428571,0.4285714285714285,2.0,0.0,18.0,0.9,5.19,0.128,148.0
V0yazJUTlb4,True,True,323.0,47,4,0,2910,3.0,1.538,0.377,0.0713391739674593,57.0,0.8604651162790697,True,0.512280701754386,0.175438596491228,0.0,0.2280701754385964,0.0,0.0,0.1403508771929824,0.0175438596491228,0.0,0.4385964912280701,2.667,190.25,19.0,0.422,4.69,0.093,800.0
V3O_FpF4ggo,True,True,2747.0,25,5,0,13800,3.0,1.664,0.208,0.0113616500611781,65.0,0.84,True,0.8,0.3846153846153846,0.1846153846153846,0.1384615384615384,0.0,0.0307692307692307,0.0153846153846153,0.0,0.0,0.2461538461538461,1.818,164.07,10.57,0.038,5.78,0.093,5707.0
VGZRMHA4ics,True,True,142.0,192,3034,0,251000,3.0,1.696,0.466,0.2213438735177865,56.0,0.7954545454545454,True,0.1142857142857143,0.0178571428571428,0.0357142857142857,0.3392857142857143,0.0,0.3035714285714285,0.0,0.0357142857142857,0.0,0.2678571428571428,17.0,0.0,17.0,0.923,3.54,0.012,253.0
V_I6Q56vtjE,True,True,126.0,55,29,0,1220000,5.0,1.345,0.483,0.2195845697329377,74.0,0.890625,False,0.0864864864864864,0.0405405405405405,0.1351351351351351,0.2297297297297297,0.0,0.0405405405405405,0.1216216216216216,0.0945945945945946,0.0675675675675675,0.2702702702702703,0.3,21.22,7.4,0.124,2.8,0.171,338.0
VpSQoQK_Wek,True,True,61.0,30,57,0,50000,3.0,1.24,0.567,0.2022471910112359,36.0,0.8571428571428571,True,0.2555555555555555,0.2222222222222222,0.0277777777777777,0.1666666666666666,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.4722222222222222,0.1,18.39,5.1,0.136,2.59,0.153,178.0
WA2U293-GRg,True,True,1112.0,126,2,0,3210,4.0,1.339,0.205,0.0257731958762886,75.0,0.76,True,0.8,0.0133333333333333,0.0933333333333333,0.1466666666666666,0.0,0.0,0.0133333333333333,0.1333333333333333,0.0133333333333333,0.5866666666666667,0.168,35.23,6.39,0.022,3.35,0.169,2891.0
WZxopWCd9C0,True,True,64.0,31,3,0,28800,3.0,1.516,0.591,0.191358024691358,31.0,0.8636363636363636,False,0.1677419354838709,0.064516129032258,0.1290322580645161,0.2258064516129032,0.0,0.0967741935483871,0.0,0.1612903225806451,0.0,0.3225806451612903,0.0,79.65,8.0,0.762,3.72,0.141,160.0
X5HxpB8u0h8,True,True,3297.0,140,7,0,15400,3.0,1.435,0.157,0.0063314257883842,52.0,0.8611111111111112,True,0.8,0.0,0.0192307692307692,0.3076923076923077,0.0,0.0769230769230769,0.1923076923076923,0.0,0.0,0.4038461538461538,0.37,92.87,8.24,0.012,4.69,0.141,8178.0
XV-pGEY4rxc,True,True,1128.0,60,8,0,1220000,3.0,1.515,0.224,0.0026764804282368,8.0,0.8333333333333334,True,0.8,0.5,0.125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.216,14.46,6.71,0.014,3.44,0.136,3004.0
Xa-iEHml8nc,True,True,156.0,70,5,0,36000,2.0,1.387,0.473,0.1071428571428571,51.0,0.9361702127659576,True,0.2745098039215687,0.0,0.1372549019607843,0.2156862745098039,0.0,0.0,0.196078431372549,0.0196078431372549,0.0392156862745098,0.392156862745098,0.444,30.04,10.44,0.206,3.28,0.178,476.0
YJwkoX7KoOA,True,True,148.0,39,9,0,50000,4.0,1.454,0.518,0.0974842767295597,31.0,0.875,False,0.1290322580645162,0.032258064516129,0.0,0.2258064516129032,0.0,0.0,0.0,0.1290322580645161,0.0,0.6129032258064516,0.25,85.89,9.75,0.46,4.82,0.166,319.0
ZCpSiSS0Yv4,True,True,117.0,16,265,16,477000,3.0,1.754,0.496,0.0978723404255319,23.0,0.7142857142857143,True,0.2782608695652173,0.1304347826086956,0.1304347826086956,0.3478260869565217,0.0869565217391304,0.217391304347826,0.0,0.0,0.0,0.0869565217391304,0.5,7.44,5.88,0.076,2.97,0.021,235.0
_kwtFLe2VQQ,True,True,31.0,26,1,0,50000,2.0,1.179,0.632,0.2631578947368421,25.0,0.8636363636363636,False,0.2079999999999999,0.28,0.0,0.08,0.0,0.04,0.04,0.08,0.04,0.44,0.0,44.64,7.0,0.3,2.94,0.212,95.0
a4ibn9IVChI,True,True,125.0,42,45,3,477000,3.0,1.609,0.48,0.0780141843971631,22.0,0.9411764705882352,True,0.3818181818181818,0.0,0.0,0.4545454545454545,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0,0.3636363636363636,1.0,0.0,16.0,0.95,6.8,0.155,283.0
a7gJ73YIz40,True,True,68.0,86,162,1,17100,3.0,1.591,0.614,0.1,14.0,0.75,False,0.2571428571428571,0.0,0.0,0.2857142857142857,0.0,0.3571428571428571,0.0,0.1428571428571428,0.0,0.2142857142857142,0.0,12.07,5.88,0.2,3.07,0.077,140.0
aS3XEPPfNtU,True,True,162.0,31,6,0,50000,3.0,1.641,0.47,0.1703470031545741,54.0,0.8421052631578947,False,0.2296296296296296,0.1296296296296296,0.0,0.2222222222222222,0.0185185185185185,0.1111111111111111,0.037037037037037,0.0185185185185185,0.0,0.4629629629629629,1.0,93.64,11.33,0.408,3.82,0.059,318.0
awC12PFFUuM,True,True,444.0,43,461,109,4200,4.0,1.355,0.359,0.056083650190114,59.0,0.88,True,0.5559322033898306,0.1016949152542373,0.0677966101694915,0.135593220338983,0.0,0.0,0.0847457627118644,0.0847457627118644,0.0169491525423728,0.5084745762711864,0.333,37.77,8.08,0.085,3.85,0.168,1054.0
cVSSdly_m7A,True,True,214.0,38,33,7,34900,3.0,1.511,0.385,0.0766550522648083,44.0,0.7941176470588235,True,0.3454545454545454,0.1136363636363636,0.0454545454545454,0.2045454545454545,0.0,0.1590909090909091,0.0227272727272727,0.0,0.0,0.4545454545454545,2.0,0.0,47.0,0.984,6.26,0.124,572.0
cWbZbyLmY5Q,True,True,3822.0,59,15,0,14700,3.0,1.669,0.211,0.0080393568514518,67.0,0.8727272727272727,True,0.8,0.1492537313432835,0.0597014925373134,0.0,0.0,0.0,0.5074626865671642,0.044776119402985,0.0,0.2388059701492537,1.804,363.55,9.83,0.037,8.23,0.082,8328.0
d46WEOlnuVg,True,True,61.0,25,14,0,144000,3.0,1.593,0.571,0.0726256983240223,13.0,0.7777777777777778,True,0.3076923076923077,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0,0.5384615384615384,0.0,0.0,0.0,0.1538461538461538,0.0,7.19,4.79,0.106,2.9,0.169,178.0
f-Uf0XUMqO0,True,True,49.0,25,3,0,45300,3.0,1.617,0.633,0.056,7.0,0.8333333333333334,True,0.2285714285714286,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,13.64,4.6,0.1,2.96,0.153,125.0
